|trigger_num|name       |t90     |t90_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|
|      06877|GRB 980626-|  13.056|    0.272|1.0293e-06|     1.8068e-08|2.3152e-06|     5.1535e-08|
|      03571|4B 950513  |        |         |          |               |          |               |
|      03305|4B 941128- |        |         |          |               |          |               |
|      02677|4B 931204- |   2.176|    2.371|1.3890e-07|     1.9015e-08|2.6272e-07|     4.7190e-08|
|      07789|GRB 991005-|   0.164|    0.012|2.0655e-08|     3.9152e-09|2.3238e-07|     1.1758e-08|
|      06870|GRB 980626-|  14.400|    1.900|3.6787e-08|     4.8970e-09|1.2200e-07|     1.4472e-08|
|      07311|GRB 990109 |        |         |          |               |          |               |
|      07830|GRB 991029 |   0.896|    0.085|2.4576e-08|     5.5300e-09|1.0856e-07|     1.6584e-08|
|      07509|GRB 990404-|   5.248|    1.548|8.1548e-08|     7.8577e-09|8.7468e-08|     2.0102e-08|
|      00666|4B 910811  |        |         |8.8103e-08|     7.6490e-09|1.9672e-07|     1.8826e-08|
|      01642|4B 920609- |  82.880|    8.140|4.2678e-07|     1.8249e-08|1.3659e-06|     4.7724e-08|
|      08068|GRB 000408-|   0.620|    0.037|          |               |          |               |
|      02770|4B 940119- | 181.088|    1.954|2.3632e-06|     6.1555e-08|8.5855e-06|     1.7931e-07|
|      02291|4B 930406- |   0.064|    0.091|2.3412e-09|     1.4771e-09|1.6178e-08|     4.2348e-09|
|      02005|4B 921024  |        |         |          |               |          |               |
|      06469|GRB 971108 |   1.792|    0.771|2.0574e-08|     3.1199e-09|6.1384e-08|     8.8342e-09|
|      03441|4B 950225- |   0.240|    0.115|1.1336e-08|     2.4669e-08|5.8132e-08|     7.3873e-08|
|      03545|4B 950505  |   1.439|    0.080|2.8158e-08|     4.7734e-09|2.7434e-07|     1.4398e-08|
|      05255|4B 960316  |  69.472|   13.670|9.1440e-07|     2.4842e-08|1.0289e-06|     7.0056e-08|
|      08066|GRB 000407 |  28.928|    6.166|2.8467e-07|     1.9245e-08|4.8283e-07|     4.4414e-08|
|      07755|GRB 990907 |        |         |          |               |          |               |
|      02387|4B 930612- |  41.984|    1.218|3.4080e-06|     2.3623e-08|9.6800e-06|     6.5789e-08|
|      06098|GRB 970221 |   9.344|    0.466|4.1394e-07|     1.1051e-08|1.0053e-06|     3.0135e-08|
|      02512|4B 930903- |   0.359|    0.075|2.7283e-08|     2.6902e-09|1.2308e-07|     7.5576e-09|
|      03038|4B 940621- |   0.464|    0.011|1.7514e-08|     3.3115e-09|1.4342e-07|     1.0192e-08|
|      03453|4B 950304  |        |         |          |               |          |               |
|      02433|4B 930708- |        |         |          |               |          |               |
|      02895|4B 940329- |        |         |          |               |          |               |
|      01953|4B 920924  |   2.816|    0.634|3.9895e-08|     9.8710e-09|1.7865e-07|     2.4693e-08|
|      03938|4B 951208- |  66.976|    1.900|          |               |          |               |
|      01888|4B 920903  |        |         |          |               |          |               |
|      06550|GRB 971229 |  13.312|    1.857|2.6819e-07|     1.4789e-08|1.2799e-06|     4.6677e-08|
|      07488|GRB 990322 |  57.280|    7.617|4.8279e-07|     2.2073e-08|1.8369e-06|     6.6162e-08|
|      01235|4B 911227  | 189.952|    0.487|2.1199e-06|     4.7059e-08|5.3221e-06|     1.0519e-07|
|      02401|4B 930619  |   3.200|    0.516|4.6893e-08|     1.6209e-08|1.7277e-07|     4.5256e-08|
|      05377|4B 960329  |        |         |          |               |          |               |
|      02515|4B 930905- |  10.528|    1.494|9.8845e-08|     1.3120e-08|3.1722e-07|     3.4586e-08|
|      06160|GRB 970406-|        |         |7.3139e-07|     4.5824e-08|1.7143e-06|     1.3754e-07|
|      06136|GRB 970326-|   1.920|    0.643|9.5447e-08|     9.8260e-09|1.9102e-07|     2.3613e-08|
|      07516|GRB 990411-|        |         |          |               |          |               |
|      06386|GRB 970918-|   0.832|    0.091|2.1905e-08|     5.8404e-09|2.1693e-07|     2.1275e-08|
|      02189|4B 930213- |  20.544|    1.943|4.3607e-07|     1.7822e-08|9.6924e-07|     4.7122e-08|
|      07559|GRB 990510-|   2.970|    1.089|4.9208e-08|     6.0077e-09|1.2530e-07|     1.5955e-08|
|      01626|4B 920525- |  30.336|    4.505|9.4414e-08|     1.0737e-08|3.0977e-07|     2.6590e-08|
|      06715|GRB 980430-|   0.452|    0.027|4.0662e-08|     3.3848e-09|2.4451e-07|     1.1596e-08|
|      01432|4B 920224- |  38.720|    3.183|7.0622e-07|     2.5522e-08|1.0491e-06|     7.2727e-08|
|      01479|4B 920314- |        |         |4.8310e-09|     1.0365e-08|1.0040e-07|     2.7813e-08|
|      02522|4B 930910- |  83.072|    0.231|2.7495e-06|     4.1745e-08|1.0785e-05|     1.1088e-07|
|      05494|4B 960613- |  32.000|    3.203|5.5330e-08|     1.2114e-08|2.9424e-07|     3.5873e-08|
|      03767|4B 950822- |        |         |          |               |          |               |
|      03290|4B 941121- |  43.648|    0.264|3.2049e-06|     2.4991e-08|6.8947e-06|     6.6983e-08|
|      01009|4B 911106- | 356.672|    4.390|1.6645e-06|     4.8726e-08|3.1892e-06|     1.1398e-07|
|      06422|GRB 971009-|   6.592|    0.202|1.8257e-06|     1.7020e-08|2.0289e-06|     3.8278e-08|
|      02050|4B 921112- |        |         |          |               |          |               |
|      02169|4B 930206- |  14.528|    2.273|          |               |          |               |
|      07933|GRB 000104-|        |         |          |               |          |               |
|      07404|GRB 990221-|  40.320|   12.163|3.7083e-07|     2.4490e-08|1.0863e-06|     7.0711e-08|
|      07708|GRB 990814-|        |         |          |               |          |               |
|      00486|4B 910705- |   0.320|    0.066|1.3888e-08|     2.7498e-09|6.5324e-08|     7.3057e-09|
|      03153|4B 940902- |  32.032|    3.226|3.9626e-07|     2.6560e-08|4.7997e-07|     7.8643e-08|
|      05499|4B 960615- |   0.624|    0.025|2.2821e-08|     3.2710e-09|1.4983e-07|     1.0230e-08|
|      02485|4B 930809- |   0.176|    0.025|1.2826e-08|     1.9651e-09|3.4750e-08|     5.3375e-09|
|      06608|GRB 980218-|        |         |          |               |          |               |
|      01713|4B 920720- |        |         |          |               |          |               |
|      06331|GRB 970809-|   2.432|    0.707|4.8434e-08|     6.6085e-09|8.8226e-08|     2.2860e-08|
|      03569|4B 950510  |  21.024|    2.521|4.2242e-07|     1.6151e-08|1.0316e-06|     4.3239e-08|
|      07603|GRB 990611-|   9.280|    1.154|1.4435e-07|     1.4106e-08|3.2814e-07|     4.0787e-08|
|      01552|4B 920414- |  48.320|    6.416|3.2528e-07|     1.5064e-08|4.4818e-07|     3.8486e-08|
|      03333|4B 941229- |   0.052|    0.016|5.3703e-09|     1.0662e-09|1.9793e-08|     3.1931e-09|
